time,rank,Maps_uid,Maps_number,Players_pid,Players_name
00:09.79,3,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,943,ehkla.
00:09.79,4,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:09.80,5,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,5274,VictorPro123
00:09.81,6,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,450,ImminentOmelet58
00:09.85,7,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,4354,「ιиғяα」
00:09.86,8,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,1174,Нтм.Nad!
00:09.89,9,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,6760,Lucin
00:09.90,10,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,957,〔 niati 〕
00:13.31,1,DiidVP0PYmi342Pvz3BCxqxKHlc,24,1174,Нтм.Nad!
00:13.36,2,DiidVP0PYmi342Pvz3BCxqxKHlc,24,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:13.75,3,DiidVP0PYmi342Pvz3BCxqxKHlc,24,542,ѕĸγ»МіǤ«ғฟ๏
00:13.95,4,DiidVP0PYmi342Pvz3BCxqxKHlc,24,3955,Nem #jome
00:13.96,5,DiidVP0PYmi342Pvz3BCxqxKHlc,24,975,ѕκγ. flex
00:14.11,6,DiidVP0PYmi342Pvz3BCxqxKHlc,24,7517,Bor
00:14.16,7,DiidVP0PYmi342Pvz3BCxqxKHlc,24,4082,iiHugo « т³
00:14.40,8,DiidVP0PYmi342Pvz3BCxqxKHlc,24,2904,NoPro»Skyer03
00:14.53,9,DiidVP0PYmi342Pvz3BCxqxKHlc,24,3704,redank
00:14.55,10,DiidVP0PYmi342Pvz3BCxqxKHlc,24,2029,ѕהνぬѕресטねНтм
00:17.19,1,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,777,Jere
00:17.47,2,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,5274,VictorPro123
00:17.54,3,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,863,ηЬ » Gyrule_ « т³
00:17.96,4,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,957,〔 niati 〕
00:18.22,5,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,120,мѕι mo
00:18.36,6,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,1977," ғฟ๏, LeG | Plast"
00:18.45,7,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,542,ѕĸγ»МіǤ«ғฟ๏
00:18.62,8,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:18.72,9,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,93,ғฟ๏〢alexx. infector
00:18.75,10,ynD6GRQMb64Ak3wkQC0EnQsP2Kh,25,31,ғฟ๏.ins
00:07.15,1,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,433,Ŀĸя ¬ Buch
00:07.15,2,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,5696,CCC〢Lzaps
00:07.15,3,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,3497,spacebeans
00:07.16,4,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,849,iklu
00:07.17,5,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,93,ғฟ๏〢alexx. infector
00:07.17,6,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,1361,Revan
00:07.17,7,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,7240,gilly
00:07.18,8,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,2894,michalo
00:07.18,9,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,1551,ML¬ I'm happy <3
00:07.18,10,KFXR3RrJym3YvZFRGJN0PjDy7Nd,26,9555,L®ם»Мeפג³ρѕ
00:09.62,1,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,433,Ŀĸя ¬ Buch
00:09.63,2,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,3501,ңя ױ Kustosz Λc
00:09.68,3,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,436,helvete
00:09.69,4,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,5752,zefi.
00:09.70,5,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,542,ѕĸγ»МіǤ«ғฟ๏
00:09.72,6,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,487,bPlayैērシmsi
00:09.73,7,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,3128,яτх.Xera!
00:09.74,8,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,1001,ЈŁ SÞlîŋt
00:09.75,9,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,1920,24l๏r
00:09.75,10,4piNi1J36OIk0vEtC32Qa8ZRzvl,27,8322,~़Vוטה ๋:>
00:13.61,1,zcut9wixvRGG5t5WRGdgcXAcWdj,28,542,ѕĸγ»МіǤ«ғฟ๏
00:13.61,2,zcut9wixvRGG5t5WRGdgcXAcWdj,28,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:13.95,3,zcut9wixvRGG5t5WRGdgcXAcWdj,28,336,»ғฟ๏« Ŀιиκ.* Law
00:14.04,4,zcut9wixvRGG5t5WRGdgcXAcWdj,28,849,iklu
00:14.23,5,zcut9wixvRGG5t5WRGdgcXAcWdj,28,975,ѕκγ. flex
00:14.57,6,zcut9wixvRGG5t5WRGdgcXAcWdj,28,5696,CCC〢Lzaps
00:14.58,7,zcut9wixvRGG5t5WRGdgcXAcWdj,28,88,hips | eX « t³
00:14.63,8,zcut9wixvRGG5t5WRGdgcXAcWdj,28,2747,Golden « т³
00:14.64,9,zcut9wixvRGG5t5WRGdgcXAcWdj,28,655,мѕι¬δαġ॓ġ॔.мםя
00:14.74,10,zcut9wixvRGG5t5WRGdgcXAcWdj,28,6673,ңя ױ adriaalv
00:14.40,1,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,1677,Eddy!
00:14.48,2,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,336,»ғฟ๏« Ŀιиκ.* Law
00:14.60,3,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:14.86,4,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,3704,redank
00:14.90,5,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,2206,Luukasa123
00:14.97,6,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,745,my queen greta
00:14.99,7,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,1798,byoš
00:15.03,8,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,2011,ि७
00:15.28,9,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,542,ѕĸγ»МіǤ«ғฟ๏
00:15.35,10,HQmhibT6q0n45YYeOlyi9UH4Jk9,29,1950,// fey « т³ //
00:13.30,1,azlfqyzYH4MQkqPqYj8j55lUnti,30,608,a
00:13.44,2,azlfqyzYH4MQkqPqYj8j55lUnti,30,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:13.53,3,azlfqyzYH4MQkqPqYj8j55lUnti,30,957,〔 niati 〕
00:13.55,4,azlfqyzYH4MQkqPqYj8j55lUnti,30,336,»ғฟ๏« Ŀιиκ.* Law
00:13.96,5,azlfqyzYH4MQkqPqYj8j55lUnti,30,3474,๓ไ» βακεδ Δlαsκα « т³
00:14.01,6,azlfqyzYH4MQkqPqYj8j55lUnti,30,3985,ңя ױ cam
00:14.04,7,azlfqyzYH4MQkqPqYj8j55lUnti,30,1396,Lemon :) ᄓ boosт³
00:14.07,8,azlfqyzYH4MQkqPqYj8j55lUnti,30,655,мѕι¬δαġ॓ġ॔.мםя
00:14.12,9,azlfqyzYH4MQkqPqYj8j55lUnti,30,120,мѕι mo
00:14.19,10,azlfqyzYH4MQkqPqYj8j55lUnti,30,4108,babababababbababbaa
00:09.88,1,7jPHOQCglOETwysfFZIXQyyTzYi,31,542,ѕĸγ»МіǤ«ғฟ๏
00:09.91,2,7jPHOQCglOETwysfFZIXQyyTzYi,31,943,ehkla.
00:09.94,3,7jPHOQCglOETwysfFZIXQyyTzYi,31,5274,VictorPro123
00:10.01,4,7jPHOQCglOETwysfFZIXQyyTzYi,31,6035,.иѕғ҂Chrom :3
00:10.02,5,7jPHOQCglOETwysfFZIXQyyTzYi,31,1364,Tissa.
00:10.09,6,7jPHOQCglOETwysfFZIXQyyTzYi,31,8323,CarroT
00:10.10,7,7jPHOQCglOETwysfFZIXQyyTzYi,31,1798,byoš
00:10.12,8,7jPHOQCglOETwysfFZIXQyyTzYi,31,1324,reasᄓnn
00:10.12,9,7jPHOQCglOETwysfFZIXQyyTzYi,31,1535,rkgk
00:10.13,10,7jPHOQCglOETwysfFZIXQyyTzYi,31,5408,Σα¹²мακσ您
00:11.29,1,mBnE55BQknjdve5xrAzjwHOcC67,32,2873,웃laser웃
00:11.82,2,mBnE55BQknjdve5xrAzjwHOcC67,32,608,a
00:12.04,3,mBnE55BQknjdve5xrAzjwHOcC67,32,336,»ғฟ๏« Ŀιиκ.* Law
00:12.11,4,mBnE55BQknjdve5xrAzjwHOcC67,32,538,.
00:12.49,5,mBnE55BQknjdve5xrAzjwHOcC67,32,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:12.52,6,mBnE55BQknjdve5xrAzjwHOcC67,32,975,ѕκγ. flex
00:12.59,7,mBnE55BQknjdve5xrAzjwHOcC67,32,487,bPlayैērシmsi
00:12.61,8,mBnE55BQknjdve5xrAzjwHOcC67,32,777,Jere
00:12.65,9,mBnE55BQknjdve5xrAzjwHOcC67,32,1797,ױρאωєя.т³
00:12.89,10,mBnE55BQknjdve5xrAzjwHOcC67,32,2011,ि७
00:13.15,1,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,1324,reasᄓnn
00:13.30,2,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,641,Luck-๏
00:13.34,3,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,542,ѕĸγ»МіǤ«ғฟ๏
00:13.35,4,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,120,мѕι mo
00:13.39,5,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,336,»ғฟ๏« Ŀιиκ.* Law
00:13.40,6,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,178,DWN.skandear
00:13.42,7,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,1329,STAMA
00:13.48,8,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,1977," ғฟ๏, LeG | Plast"
00:13.49,9,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,1644,ЈН ¬ bMagma « т³
00:13.50,10,_h1pTHurVKyEhp7kFiZwAoUF2Ya,33,450,ImminentOmelet58
00:18.17,1,fRTbc5NvJhUao05UhuAposyjnK3,34,1648,a zix
00:21.33,2,fRTbc5NvJhUao05UhuAposyjnK3,34,542,ѕĸγ»МіǤ«ғฟ๏
00:22.61,3,fRTbc5NvJhUao05UhuAposyjnK3,34,3165,ғяσैѕѕ
